,CO,H2,CH4,C2H4,C2H6,C3H8,Xf_LFL,Xf_UFL,Xf_stoich,Su_stoich,LFL,UFL
150,0.7334,0.0,0.0,0.0,0.2666,0.0,,,,0.4807168542593345,0.096006,0.5831084000000001
151,0.4429,0.2063,0.3508,0.0,0.0,0.0,,,,0.5906031584853074,0.07683519999999999,0.5444311999999999
152,0.0,0.0,0.368,0.2975,0.1083,0.2262,,,,0.5457567843534887,0.032372450000000004,0.18171239999999997
153,0.3431,0.1459,0.0472,0.1986,0.1409,0.1244,,,,0.6077306932034697,0.061385699999999994,0.4613264
154,0.1546,0.1693,0.3625,0.039,0.0073,0.2673,,,,0.5189038386146987,0.04817879999999999,0.3414315
155,0.0,0.2928,0.1082,0.1667,0.1769,0.2554,,,,0.5668175776419466,0.03172745,0.33275200000000005
156,0.7303,0.0,0.0,0.0,0.0,0.2697,,,,0.5395894049259925,0.0932997,0.5749647
157,0.2524,0.2801,0.0,0.1359,0.0802,0.2514,,,,0.6129206373951233,0.05291465000000001,0.47357860000000007
158,0.5619,0.0,0.0,0.0355,0.1413,0.2613,,,,0.513251225712495,0.07813054999999998,0.4754904999999999
159,0.0715,0.4631,0.0,0.4654,0.0,0.0,,,,0.9985307321665273,0.039902499999999994,0.5340544
160,0.2517,0.0,0.1656,0.0,0.2063,0.3764,,,,0.4693213410578781,0.05158379999999999,0.279531
161,0.3084,0.0806,0.4947,0.1163,0.0,0.0,,,,0.5499071036386192,0.06519705,0.40614259999999996
162,0.2867,0.2871,0.2708,0.0,0.1553,0.0,,,,0.5295891237509325,0.06246220000000001,0.4940184
163,0.6596,0.0,0.0,0.3404,0.0,0.0,,,,0.7922240749489193,0.08851300000000001,0.5920544
164,0.3133,0.0,0.4214,0.0,0.2653,0.0,,,,0.42675153127799065,0.0640966,0.3369818
165,0.2537,0.0,0.3458,0.3935,0.0,0.0071,,,,0.6679340861871573,0.05662955,0.3602443
166,0.2949,0.0,0.0,0.3082,0.0,0.397,,,,0.6038244156816777,0.052200500000000004,0.34941720000000004
167,0.0,0.0,0.0933,0.4167,0.0,0.49,,,,0.5943751844052724,0.02585445,0.1839674
168,0.0878,0.4275,0.0,0.1453,0.0,0.3395,,,,0.6474221013409286,0.038761250000000004,0.4623203
169,0.0,0.1475,0.0,0.3744,0.4781,0.0,,,,0.5789088401901308,0.030539000000000004,0.2769878
170,0.01,0.2818,0.1398,0.0,0.3909,0.1775,,,,0.47834577257077415,0.0340777,0.30817629999999996
171,0.0671,0.1996,0.1636,0.3029,0.1062,0.1606,,,,0.6214702492650362,0.038122750000000004,0.34287419999999996
172,0.4677,0.1322,0.0923,0.0,0.0,0.3079,,,,0.5442364831567599,0.07193909999999999,0.49616009999999994
173,0.2218,0.1698,0.0936,0.1922,0.179,0.1436,,,,0.579685857717882,0.05119750000000001,0.4007192
174,0.4296,0.2847,0.0,0.2856,0.0,0.0,,,,0.9282591947830127,0.070794,0.6174066
175,0.3306,0.0,0.0,0.3728,0.2966,0.0,,,,0.6116264600200091,0.058822,0.39134920000000006
176,0.0,0.2272,0.3393,0.4188,0.0,0.0147,,,,0.7224675053848341,0.035842900000000004,0.3473067
177,0.6415,0.0105,0.0,0.348,0.0,0.0,,,,0.7991541721136635,0.08696999999999999,0.588528
178,0.0,0.0,0.4004,0.0898,0.1645,0.3453,,,,0.47577041148603333,0.0322734,0.14662169999999997
179,0.2135,0.0,0.3495,0.2157,0.0,0.2214,,,,0.5579873479148155,0.05157915000000001,0.3014946
180,0.2903,0.1725,0.2681,0.0,0.0,0.2692,,,,0.5249542996482692,0.059185600000000005,0.41825759999999995
181,0.2089,0.2925,0.1953,0.0348,0.0,0.2685,,,,0.5706809546337671,0.05195670000000001,0.4451505
182,0.2924,0.052,0.0,0.1777,0.0,0.478,,,,0.5687861425577974,0.05209275,0.3574002
183,0.1308,0.2128,0.2891,0.2947,0.0,0.0727,,,,0.6765121496746496,0.046559350000000006,0.3967393000000001
184,0.0395,0.0,0.2661,0.0,0.1656,0.5287,,,,0.4652095798337589,0.0325191,0.14719849999999998
185,0.2347,0.1506,0.044,0.1271,0.2113,0.2322,,,,0.5425043141711895,0.050834449999999996,0.38219499999999995
186,0.391,0.0,0.1955,0.0,0.1463,0.2672,,,,0.4760923561743048,0.0655222,0.3704404000000001
187,0.2864,0.1708,0.0103,0.2112,0.3213,0.0,,,,0.5859305803698318,0.057100200000000004,0.4448336
188,0.5693,0.0,0.0,0.3146,0.1161,0.0,,,,0.6850926377691493,0.0804505,0.531347
189,0.3175,0.0,0.1031,0.0,0.555,0.0244,,,,0.4361418031130672,0.059798800000000006,0.3263178
190,0.0,0.5136,0.1342,0.0,0.0,0.3522,,,,0.5883849743507994,0.03384499999999999,0.4427809999999999
191,0.3368,0.0,0.0,0.2356,0.1762,0.2514,,,,0.5633958544849916,0.057460399999999995,0.36722180000000004
192,0.2343,0.1927,0.1987,0.0498,0.1153,0.2092,,,,0.529061441983365,0.05378850000000001,0.40250600000000014
193,0.0,0.0,0.2465,0.2191,0.0,0.5344,,,,0.53610881570915,0.02809365,0.15706299999999998
194,0.174,0.1999,0.0,0.0,0.1207,0.5053,,,,0.5134467491706277,0.043108299999999995,0.34642709999999993
195,0.1599,0.0123,0.2792,0.1845,0.1601,0.2039,,,,0.5221690544620988,0.046123449999999996,0.26815209999999995
196,0.6985,0.0,0.0992,0.0,0.0,0.2023,,,,0.5325924673118853,0.09243309999999999,0.5605761
197,0.0,0.0402,0.0,0.3164,0.3838,0.2595,,,,0.5412023190256446,0.0272725,0.19444110000000003
198,0.2659,0.0,0.1611,0.0,0.3012,0.2718,,,,0.4588115990223527,0.05374020000000001,0.29064600000000007
199,0.1442,0.2546,0.3074,0.0474,0.2092,0.0373,,,,0.51041357776603,0.04937640000000001,0.39277809999999996
200,0.0,0.4691,0.5309,0.0,0.0,0.0,,,,0.5795032329292319,0.042123600000000004,0.4388926000000001
201,0.0,0.0,0.1986,0.0,0.6035,0.1978,,,,0.431797741822892,0.0309972,0.1273822
202,0.2195,0.2396,0.0107,0.1736,0.175,0.1817,,,,0.5946790459274526,0.0502345,0.4357811
203,0.3488,0.1308,0.0,0.2823,0.2209,0.0172,,,,0.6399900219359248,0.061839450000000004,0.4695666
204,0.0,0.2584,0.201,0.2063,0.1501,0.1843,,,,0.5770619474476896,0.03322655,0.3229925
205,0.307,0.0,0.1375,0.0,0.2181,0.3373,,,,0.4706630866368677,0.056516300000000005,0.3139117
206,0.0,0.3182,0.051,0.3171,0.3137,0.0,,,,0.634243693630993,0.03310325,0.3766034
207,0.0,0.0,0.3164,0.3023,0.1626,0.2186,,,,0.5427892569666865,0.03170345,0.1805884
208,0.2882,0.0,0.0,0.3242,0.1449,0.2428,,,,0.5944809654215334,0.0529453,0.35136160000000005
209,0.1905,0.0,0.0,0.0,0.1286,0.6808,,,,0.4873516342663913,0.041014800000000004,0.22758219999999998
210,0.4345,0.0,0.5655,0.0,0.0,0.0,,,,0.4553849635713121,0.07702200000000001,0.418617
211,0.0609,0.2765,0.0537,0.205,0.2438,0.1601,,,,0.5814276620445321,0.0370444,0.36688809999999994
212,0.4333,0.0,0.0,0.0,0.0378,0.5289,,,,0.5071639979516821,0.0642369,0.3830811
213,0.1954,0.3074,0.0,0.0,0.2081,0.2891,,,,0.5266395312867395,0.04805809999999999,0.43210350000000003
214,0.0,0.2949,0.0,0.0,0.2755,0.4296,,,,0.5013340860123997,0.0290826,0.2987266
215,0.1582,0.0703,0.4759,0.0,0.27,0.0257,,,,0.43026546216283573,0.0513753,0.2854983
216,0.0,0.0,0.0,0.6826,0.3174,0.0,,,,0.6659325302272505,0.0282935,0.23458120000000002
217,0.0,0.0076,0.0,0.4193,0.38,0.1931,,,,0.5656315142532525,0.02728985,0.1922429
218,0.0,0.4016,0.4139,0.1628,0.0218,0.0,,,,0.6614793004240209,0.0394066,0.41834360000000004
219,0.2986,0.0164,0.0262,0.1949,0.2183,0.2456,,,,0.542618798184318,0.05470715,0.348163
220,0.1715,0.0,0.0,0.2554,0.2732,0.2999,,,,0.5408617557522761,0.0420974,0.2658361
221,0.3119,0.0,0.0,0.2147,0.342,0.1314,,,,0.5342399264560593,0.056351649999999996,0.35100860000000006
222,0.3151,0.0,0.3218,0.3109,0.0523,0.0,,,,0.6251415486195541,0.06208995,0.3845028
223,0.0,0.9796,0.0,0.0,0.0204,0.0,,,,1.9487568401418096,0.039796,0.7372296
224,0.0185,0.2708,0.219,0.3104,0.092,0.0894,,,,0.65214483176653,0.0358614,0.36210279999999995
225,0.1503,0.2849,0.0999,0.0,0.3183,0.1467,,,,0.4972151214837582,0.04645730000000001,0.39706949999999996
226,0.0207,0.079,0.2161,0.3513,0.3329,0.0,,,,0.5671261403201403,0.03480015,0.2519668
227,0.0,0.0,0.8053,0.0,0.0,0.1947,,,,0.42695423973168445,0.039521900000000006,0.15173389999999998
228,0.1861,0.0638,0.0933,0.1973,0.2044,0.255,,,,0.5421469285087648,0.04590195,0.31025459999999994
229,0.0,0.1986,0.1803,0.0,0.317,0.3041,,,,0.47311131596103245,0.0317733,0.24854130000000002
230,0.0,0.323,0.312,0.1457,0.2193,0.0,,,,0.559842065277887,0.037233749999999996,0.36228140000000003
231,0.194,0.235,0.3938,0.0,0.1773,0.0,,,,0.4807868558065553,0.055326200000000006,0.40831839999999997
232,0.0,0.038,0.3912,0.3257,0.0477,0.1974,,,,0.5731071470738957,0.03326595,0.2116592
233,0.1207,0.0,0.5735,0.3058,0.0,0.0,,,,0.5819543443551823,0.048127500000000004,0.2720378
